nodenumber,x-coordinate,y-coordinate,temperature,hole_size,leak_status
95,-1.126015,-1.399375,327.794307,20mm,1
96,-0.521548,0.585138,318.798252,30mm,1
97,0.301452,1.797660,311.987782,25mm,1
98,1.722663,-2.151618,337.975726,20mm,1
99,1.703220,-1.456193,334.396365,30mm,1
100,-1.738343,0.395332,305.420423,20mm,0
101,1.423855,1.163081,324.908332,20mm,1
102,2.739603,-0.652339,303.415313,40mm,0
103,0.892331,-0.658824,301.427968,25mm,0
104,2.434495,2.415483,301.249405,40mm,0
105,-1.379985,-0.883389,305.087518,30mm,0
106,2.520683,-0.178223,299.553851,20mm,0
107,-1.272429,-0.720363,332.047218,40mm,1
108,-0.535200,-1.479558,328.180181,25mm,1
109,0.762784,1.941454,298.621021,25mm,0
110,-2.829975,1.971182,302.150106,25mm,0
111,1.782651,0.535236,329.426017,30mm,1
112,1.922271,-2.821889,298.323793,20mm,0
113,1.317010,-0.347378,300.433344,30mm,0
114,-3.372594,-1.316840,315.411710,40mm,1
115,-1.435845,-1.209960,348.842396,40mm,1
116,-1.522137,-0.893109,333.031396,40mm,1
117,1.255603,2.707703,301.032360,25mm,0
118,0.540885,-1.817204,298.202807,25mm,0
119,0.187829,-2.738463,302.118166,40mm,0
120,2.150136,2.991669,297.371934,30mm,0
121,-0.677926,1.407101,301.275269,25mm,0
122,0.310676,-1.355675,300.834719,25mm,0
123,-1.545505,0.566990,297.499859,40mm,0
124,2.836013,0.776102,307.766720,30mm,0
125,0.272204,-1.079401,300.503547,20mm,0
126,0.595665,1.844868,302.264339,20mm,0
127,-0.978729,0.824125,300.670749,30mm,0
128,-1.446024,2.410015,301.779086,30mm,0
129,0.991126,0.774436,331.468503,20mm,1
130,0.938604,0.053889,327.558403,20mm,1
131,1.564168,-2.356488,303.362887,20mm,0
132,-2.279379,-0.637691,327.299891,40mm,1
133,-0.186642,-2.869266,303.272344,40mm,0
134,-0.166848,2.933100,299.134569,40mm,0
135,-1.569641,-1.750879,320.023731,40mm,1
136,1.911882,-1.511351,299.613390,25mm,0
137,2.845906,-2.896962,302.001843,20mm,0
138,0.898994,-0.893548,331.951258,30mm,1
139,0.260803,2.298848,347.850077,20mm,1
140,1.133027,-1.201230,330.002218,30mm,1
141,0.463610,-1.393826,329.663934,40mm,1
142,0.453002,-0.564335,339.054398,25mm,1
143,1.393743,1.661678,301.728447,25mm,0
144,1.230207,-1.638777,300.717104,20mm,0
145,-2.726146,0.793360,297.146606,20mm,0
146,2.690001,-0.888428,321.242754,30mm,1
147,-1.491254,-2.360950,328.643269,40mm,1
148,2.147850,1.017618,321.791740,40mm,1
149,1.314332,-1.248888,299.978751,20mm,0
150,1.328695,2.647674,302.523815,25mm,0
151,2.364646,2.787481,297.599941,20mm,0
152,-2.773293,0.860218,299.284876,25mm,0
153,1.865271,2.014956,295.000000,40mm,0
154,-1.250091,-0.749506,310.000000,40mm,1
155,0.999857,0.778087,310.000000,30mm,1
156,0.988782,-0.285439,302.942305,20mm,0
157,0.764491,-0.113209,303.475749,40mm,0
158,-1.404746,1.744248,334.681755,30mm,1
159,0.582801,1.158793,301.061618,30mm,0
160,2.521576,1.833161,298.521394,20mm,0
161,2.497567,-1.939382,302.676400,20mm,0
162,2.486717,-2.740421,301.675803,40mm,0
163,-2.009240,1.630422,329.286324,30mm,1
164,1.260851,1.570088,305.147174,25mm,0
165,-0.119262,0.429126,302.723767,25mm,0
166,-0.827107,1.513866,300.803118,40mm,0
167,-1.575472,-0.568117,336.103791,20mm,1
168,1.169891,2.160734,295.000000,25mm,0
169,-1.641212,-2.225182,300.749568,40mm,0
170,0.708544,-2.595457,299.415528,40mm,0
171,-1.113395,0.485812,299.601134,30mm,0
172,0.692812,-1.348019,327.617837,30mm,1
173,0.358000,-0.353223,321.163801,20mm,1
174,2.838461,1.555755,300.287811,40mm,0
175,2.788425,-2.864271,299.614889,30mm,0
176,2.409865,0.273862,298.724503,20mm,0
177,2.090711,-0.279017,329.514729,25mm,1
178,0.708532,0.581451,344.473072,25mm,1
179,-1.994566,1.120876,317.626258,25mm,1
180,-0.309899,-1.877570,300.414085,25mm,0
181,1.216695,-1.489859,331.485150,30mm,1
182,-0.074353,-0.031828,304.687834,25mm,0
183,-2.878545,-0.905614,326.735892,25mm,1
184,-1.944157,0.972828,326.219961,30mm,1
185,-0.330394,-1.408323,321.698522,30mm,1
186,-0.575341,-1.670994,303.945632,30mm,0
187,2.016880,-0.908779,312.877926,40mm,1
188,-2.266482,-0.449018,299.354444,40mm,0
189,-2.180395,0.909839,297.115603,30mm,0
190,-1.465793,-1.988893,303.123955,30mm,0
191,-0.499918,-1.113540,303.302633,20mm,0
192,2.173484,1.922571,304.905611,20mm,0
193,-0.997083,0.346438,297.167064,30mm,0
194,0.235657,-0.337665,310.000000,30mm,1
195,2.680402,-2.364565,303.544154,30mm,0
196,0.489219,-0.744509,303.164623,40mm,0
197,2.005949,0.464120,301.768509,30mm,0
198,0.225784,1.999145,297.896752,25mm,0
199,2.469352,1.698557,303.812016,20mm,0
200,0.869223,-0.606251,349.923503,40mm,1
201,-2.601535,-0.404158,320.564276,40mm,1
202,-0.873063,1.877718,300.786453,30mm,0
203,1.887554,2.267229,321.388276,25mm,1
204,1.011280,2.176625,298.409641,20mm,0
205,0.457576,-1.263075,317.869723,25mm,1
206,2.322852,-2.704534,301.405558,20mm,0
207,2.184052,-0.910003,298.553325,40mm,0
208,1.305221,-1.100774,296.731643,40mm,0
209,0.941035,0.541259,324.476346,40mm,1
210,0.164617,0.087319,301.257036,25mm,0
211,0.027824,-2.955882,299.161997,40mm,0
212,-1.226467,0.351640,326.718980,20mm,1
213,1.900699,-1.240402,326.777144,40mm,1
214,-1.317571,0.067043,301.569385,40mm,0
215,2.040648,2.936707,301.984493,30mm,0
216,-2.403794,-0.268766,325.119719,25mm,1
217,-0.663519,-2.825474,300.990629,25mm,0
218,0.491491,-1.088916,299.015959,25mm,0
219,-2.035441,1.907802,301.366784,20mm,0
220,0.890799,0.711675,324.801132,25mm,1
221,1.894472,0.583874,300.126402,30mm,0
222,-1.048958,1.090916,327.296467,20mm,1
223,-2.065687,-0.692036,345.167990,30mm,1
224,1.643359,1.742629,301.052218,40mm,0
225,-2.161366,1.771604,303.919455,40mm,0
226,2.329831,-0.105004,305.238790,25mm,0
227,0.657365,1.090416,298.694867,25mm,0
228,-2.061517,0.998605,331.892695,20mm,1
229,-1.721770,1.494932,353.180823,30mm,1
230,-1.603630,-2.677017,301.822767,30mm,0
231,0.076544,-0.976080,310.000000,40mm,1
232,-0.208958,-2.480944,301.773889,40mm,0
233,-1.374545,2.132449,298.667235,25mm,0
234,-0.778471,-1.857199,301.858426,40mm,0
235,-0.364847,1.720780,301.556790,20mm,0
236,-2.364754,-0.870614,297.570816,20mm,0
237,1.320594,0.747933,299.634542,20mm,0
238,2.183201,0.577386,302.414082,20mm,0
239,-2.692762,1.473019,303.495544,40mm,0
240,1.353383,1.641456,340.263222,40mm,1
241,2.611713,0.060783,317.697931,25mm,1
242,-0.023913,-1.709359,297.805217,20mm,0
243,-0.399167,2.983094,304.000197,25mm,0
244,1.923849,-2.773816,301.001889,20mm,0
245,-1.293363,1.326193,297.606790,40mm,0
246,-1.489119,-1.425334,322.659293,30mm,1
247,0.713174,-2.456301,314.024577,25mm,1
248,-1.230443,-2.197979,299.346280,40mm,0
249,-1.503738,1.907986,326.040714,25mm,1
250,2.053605,-2.371197,332.283048,30mm,1
251,1.463611,0.829865,335.153184,30mm,1
252,0.569519,0.681411,304.721177,20mm,0
253,1.154154,-1.415628,303.576451,20mm,0
254,-1.814113,-0.122208,298.172328,30mm,0
255,0.291998,0.017580,327.184371,20mm,1
256,-0.709526,1.319099,325.466264,40mm,1
257,-2.380343,-1.436241,299.752479,25mm,0
258,-1.951357,-0.768511,315.990112,40mm,1
259,-0.625944,2.392801,339.302320,25mm,1
260,0.081132,0.657122,299.757810,40mm,0
261,1.765548,-2.581021,302.877026,30mm,0
262,0.901798,-1.098193,313.170360,20mm,1
263,0.469659,-0.097610,323.479376,30mm,1
264,-2.713312,-0.886614,302.773381,25mm,0
265,0.457400,-1.350901,333.210808,40mm,1
266,-1.630012,-2.649252,297.173846,20mm,0
267,0.997180,-0.850060,297.478877,40mm,0
268,-2.744715,1.267819,299.210133,40mm,0
269,-1.135779,2.222431,301.446674,25mm,0
270,2.541326,-0.996402,310.000000,30mm,1
271,2.322419,-1.529112,304.973617,40mm,0
272,1.044634,0.108023,326.584652,25mm,1
273,-1.797267,1.131506,302.900798,20mm,0
274,2.870475,-2.102089,324.356849,25mm,1
275,0.808217,0.684565,310.000000,40mm,1
276,0.076006,-1.239067,299.119609,25mm,0
277,1.577836,-1.877083,311.214795,30mm,1
278,0.634835,-0.259917,323.885908,25mm,1
279,-1.599093,1.145285,329.548509,20mm,1
280,-1.934659,2.373492,317.220684,25mm,1
281,-2.023784,1.132868,300.705081,40mm,0
282,-0.725173,-0.564351,314.211575,20mm,1
283,-2.766124,1.001084,301.874125,20mm,0
284,-2.409239,0.362720,303.198729,20mm,0
285,-2.889552,-1.195877,320.365250,30mm,1
286,-0.700964,-2.721230,297.332976,30mm,0
287,1.451529,-2.152067,299.300772,25mm,0
288,-2.180982,-1.627975,301.311880,20mm,0
289,-0.854023,-2.326136,321.938604,20mm,1
290,2.816781,1.315628,301.427599,30mm,0
291,0.958012,1.019599,317.149979,20mm,1
292,1.152442,-1.762487,301.638459,30mm,0
293,-1.728909,1.269186,325.521547,40mm,1
294,1.013603,0.261780,318.258680,30mm,1
295,-2.404740,-2.245956,322.753438,40mm,1
296,1.786882,-0.386500,297.930980,40mm,0
297,-1.278189,-0.528354,332.178973,20mm,1
298,-2.613642,-1.384881,298.708403,30mm,0
299,0.432599,2.118081,298.436952,40mm,0
300,1.870865,1.699414,299.260425,25mm,0
301,-2.218592,-1.269829,316.784594,25mm,1
302,1.790976,0.144226,296.299279,30mm,0
303,1.839968,-1.046998,316.827841,30mm,1
304,1.902278,-0.849927,302.026738,30mm,0
305,2.212655,-1.459762,340.642685,20mm,1
306,1.700974,-2.779465,305.745293,20mm,0
307,1.492075,0.670293,316.335267,20mm,1
308,-0.215189,-2.852064,300.344416,30mm,0
309,2.426631,2.409660,301.550989,25mm,0
310,0.711417,-1.509088,313.391837,20mm,1
311,-2.679918,2.206583,298.344164,30mm,0
312,-1.483922,-1.036850,303.307612,25mm,0
313,2.053064,1.828372,326.977749,40mm,1
314,-0.737501,-2.478127,301.723262,40mm,0
315,2.817195,-1.958164,304.496210,25mm,0
316,-0.198003,1.872200,304.174033,30mm,0
317,1.530924,0.032232,336.733489,40mm,1
318,0.382103,0.669543,329.906643,25mm,1
319,-0.421110,-1.315343,351.439562,30mm,1
320,-1.235872,0.734536,310.000000,40mm,1
321,2.298941,-2.107342,300.671015,40mm,0
322,-2.434666,-1.108876,296.684465,40mm,0
323,0.873838,2.827451,297.955492,40mm,0
324,-2.397203,0.326352,302.281499,20mm,0
325,2.103610,-1.389640,333.541517,30mm,1
326,2.324404,-1.588638,332.757407,30mm,1
327,-0.016951,0.707083,301.376047,25mm,0
328,0.154654,-0.821740,317.198232,25mm,1
329,1.227516,-2.404833,301.651917,30mm,0
330,2.544207,-2.533966,298.687685,25mm,0
331,-2.341998,-2.550907,302.284003,20mm,0
332,1.533201,-2.337162,299.746535,40mm,0
333,2.747826,-2.799459,302.891412,25mm,0
334,-0.301561,1.660263,303.283962,30mm,0
335,-1.812088,1.209517,336.816531,20mm,1
336,1.265737,-2.871923,330.590176,25mm,1
337,-0.636333,0.716350,317.432751,40mm,1
338,2.381502,-0.858098,328.090801,20mm,1
339,1.274535,0.300782,326.925449,25mm,1
340,1.707722,-2.308663,301.204923,30mm,0
341,2.305024,1.726252,296.346217,40mm,0
342,0.736737,0.589155,296.560604,40mm,0
343,2.837228,-2.493059,299.309872,40mm,0
344,1.302899,-0.126199,301.595944,25mm,0
345,-1.587936,1.119472,323.976279,30mm,1
346,2.580114,0.753852,298.886925,40mm,0
347,2.169210,-0.419377,303.348215,40mm,0
348,-0.524146,-1.140983,327.920697,20mm,1
349,-2.316743,-0.383950,299.401885,30mm,0
350,0.044714,-2.762427,300.997322,30mm,0
351,2.904079,-1.269567,303.932812,40mm,0
352,2.071980,1.362977,297.044442,30mm,0
353,-2.381257,2.415317,303.746942,30mm,0
354,1.053352,-2.428070,344.595594,20mm,1
355,1.140305,-1.074191,324.947533,20mm,1
356,-2.261170,2.709573,321.067785,40mm,1
357,2.433890,-1.867256,328.151739,40mm,1
358,-1.142263,1.112371,300.868470,40mm,0
359,-0.773612,0.805368,304.921297,20mm,0
360,-1.025644,-0.798196,305.832986,25mm,0
361,2.146026,0.608143,318.720541,25mm,1
362,-1.873916,-2.932734,299.835617,30mm,0
363,-1.535433,1.374081,304.698704,25mm,0
364,-2.708530,-0.700811,327.548825,25mm,1
365,-0.350817,2.326225,298.756864,30mm,0
366,1.775880,1.330545,331.560576,25mm,1
367,-2.099977,-0.662044,297.591734,30mm,0
368,-1.165796,-2.739326,326.824277,20mm,1
369,-2.697332,-0.621630,325.333322,30mm,1
370,-1.869861,-0.291803,335.020087,30mm,1
371,1.320656,-0.884694,326.213667,30mm,1
372,1.577693,1.556919,300.822199,25mm,0
373,-1.184158,0.974231,302.335520,40mm,0
374,-2.687725,2.305471,304.186071,40mm,0
375,-0.402893,-1.813974,300.690269,40mm,0
376,1.524652,-2.511409,331.984502,40mm,1
377,0.841315,-2.758555,299.822924,30mm,0
378,1.791327,-2.009422,334.361331,20mm,1
379,-0.261280,-2.355004,299.450322,40mm,0
380,0.273069,2.731345,323.918724,20mm,1
381,2.178077,-1.692422,330.786067,40mm,1
382,2.165101,-2.395269,327.731477,40mm,1
383,2.704636,1.215243,304.090327,30mm,0
384,0.743156,-0.289394,299.316273,20mm,0
385,-0.443050,2.070292,303.831058,40mm,0
386,2.230478,1.545296,299.703437,25mm,0
387,1.092793,-1.536482,316.954424,30mm,1
388,0.777354,0.960717,299.695336,40mm,0
389,0.797674,-0.187890,324.956586,25mm,1
390,0.277275,-1.804635,299.926340,40mm,0
391,-2.498932,-0.679339,310.000000,20mm,1
392,-0.008585,0.199961,299.556645,25mm,0
393,-1.640062,-0.870022,299.545798,40mm,0
394,2.006829,-0.086756,303.609988,40mm,0
395,-0.682655,0.728419,334.163986,20mm,1
396,-1.329821,-0.862786,328.348749,25mm,1
397,-1.605420,2.606404,301.724600,25mm,0
398,-1.935732,-1.800122,310.000000,40mm,1
399,2.864570,1.958661,300.789676,20mm,0
400,2.065903,0.208968,304.919126,20mm,0
401,-0.090046,-1.166541,302.583063,30mm,0
402,2.451816,-0.264843,337.711951,20mm,1
403,-1.546427,0.958381,323.891909,25mm,1
404,-0.975255,-0.669133,300.478033,25mm,0
405,-1.861419,2.559004,300.966792,25mm,0
406,-2.945769,-0.857824,300.217355,25mm,0
407,-2.962498,-0.033920,341.149184,40mm,1
408,-1.803843,1.964348,303.183562,40mm,0
409,-0.104543,-0.278654,297.900824,40mm,0
410,-0.482083,0.328642,299.446914,25mm,0
411,-0.745444,2.894896,302.327004,20mm,0
412,2.559246,-2.229650,329.070689,20mm,1
413,1.999376,2.421187,305.136671,40mm,0
414,2.516352,-0.018219,295.617774,30mm,0
415,-1.276018,-2.028626,304.737576,25mm,0
416,-1.190878,1.680156,300.447179,20mm,0
417,0.065693,-2.871883,302.510761,25mm,0
418,-2.540173,0.578674,300.023121,25mm,0
419,-2.366298,1.393442,295.215351,25mm,0
420,-1.838649,-1.527128,339.564445,30mm,1
421,-0.682116,-0.452162,323.952348,30mm,1
422,1.314581,0.396485,312.300920,25mm,1
423,1.667890,-1.684324,334.762247,25mm,1
424,1.241634,2.831941,304.686735,20mm,0
425,1.995937,-0.085316,338.038685,30mm,1
426,-2.859968,-2.639470,301.354441,25mm,0
427,-0.789656,-2.363914,310.000000,20mm,1
428,2.187345,1.497634,302.281458,30mm,0
429,2.200606,2.770831,319.761910,40mm,1
430,-2.890228,0.280511,325.445312,25mm,1
431,0.346589,0.908017,300.918797,25mm,0
432,-0.759358,2.445709,303.438682,20mm,0
433,1.503689,1.841008,302.574072,20mm,0
434,-2.992539,1.593680,300.186216,30mm,0
435,-0.429772,-1.190642,318.956438,30mm,1
436,2.055360,0.660070,321.839421,30mm,1
437,0.566784,2.571251,300.302235,20mm,0
438,-2.760312,-0.826239,300.687064,30mm,0
439,-2.246971,2.976666,326.122188,30mm,1
440,2.389638,0.162264,300.615537,25mm,0
441,1.554192,0.841635,319.589671,20mm,1
442,-1.117307,-2.148934,300.384162,25mm,0
443,2.027036,-1.111093,300.574282,30mm,0
444,-0.928776,-1.884590,301.007315,20mm,0
445,2.646838,-1.411819,311.609271,30mm,1
446,-1.778858,1.487994,319.753742,30mm,1
447,-0.390493,-0.471021,300.772535,40mm,0
448,1.844992,-2.188561,300.031278,30mm,0
449,-1.114996,-0.754723,299.079362,25mm,0
450,0.391880,-1.012453,330.027232,30mm,1
451,-2.583313,0.575009,303.719017,25mm,0
452,2.236872,1.895265,336.300396,20mm,1
453,-2.588982,0.573025,302.781655,25mm,0
454,-0.763869,-1.441477,306.025511,25mm,0
455,2.082365,-2.858430,301.411902,20mm,0
456,-1.864070,-0.967633,324.908052,30mm,1
457,-2.506551,-1.115776,295.008626,25mm,0
458,-1.249684,2.456025,304.978272,30mm,0
459,-0.149485,-1.774707,298.645785,40mm,0
460,-0.960750,1.348601,300.227070,25mm,0
461,1.934029,-2.041470,296.681851,20mm,0
462,-2.107909,0.271347,304.552498,25mm,0
463,2.763595,0.930320,321.406849,20mm,1
464,1.716551,-0.345265,317.964766,20mm,1
465,0.755197,1.633070,315.719954,30mm,1
466,-2.445873,0.069754,331.551862,30mm,1
467,2.046166,1.570879,305.036958,20mm,0
468,1.776456,1.105517,321.809639,40mm,1
469,-0.194379,-2.591706,299.256209,20mm,0
470,-2.558813,-0.009339,310.000000,25mm,1
471,2.202189,0.472052,297.339063,20mm,0
472,-0.532636,-1.387217,301.509860,30mm,0
473,-2.496758,2.956824,303.707863,30mm,0
474,2.892508,-2.553587,301.961913,20mm,0
475,-1.915136,0.880650,299.321972,30mm,0
476,1.184928,-0.663833,300.292446,30mm,0
477,0.213991,0.575825,299.521279,40mm,0
478,2.364810,-0.878011,336.608763,25mm,1
479,-1.550693,-0.273990,322.168138,40mm,1
480,0.769500,-1.926860,303.278033,30mm,0
481,-1.035644,-1.632209,338.075196,20mm,1
482,0.816672,1.155105,299.322714,25mm,0
483,0.666482,-1.204356,341.221976,30mm,1
484,-0.134319,1.648241,301.865415,40mm,0
485,1.684092,-0.658569,298.941163,40mm,0
486,-1.543605,0.647125,300.421455,20mm,0
487,-0.859661,0.554898,299.115345,20mm,0
488,-2.045039,1.980860,301.555970,40mm,0
489,-2.118372,-0.948442,302.498603,30mm,0
490,-2.472858,1.275246,304.942125,30mm,0
491,2.902464,2.478311,341.055532,20mm,1
492,0.510599,-1.710773,302.512833,25mm,0
493,0.086768,-2.489662,301.198995,30mm,0
494,-1.574735,-0.760489,298.882597,30mm,0
495,-2.006788,-0.583606,304.725344,40mm,0
496,-2.930181,-0.835882,324.511586,30mm,1
497,-1.519090,-1.990607,302.347780,20mm,0
498,-2.671430,-0.988817,303.735479,25mm,0
499,-2.595342,0.378648,314.559337,20mm,1
500,-1.231097,-0.872711,298.014526,40mm,0
501,-2.923070,1.773266,298.186032,20mm,0
502,-1.848311,-1.056426,326.408696,25mm,1
503,0.858935,-1.936621,319.885213,30mm,1
504,-1.877349,1.693164,301.426107,30mm,0
505,1.547149,0.181485,300.513771,40mm,0
506,1.027326,1.885326,319.262328,20mm,1
507,-1.185483,0.380450,300.921402,20mm,0
508,2.668254,-2.325572,297.381547,20mm,0
509,0.395602,-1.196823,301.625369,30mm,0
510,1.783007,2.809915,307.661536,40mm,0
511,1.789855,-1.455133,335.185574,30mm,1
512,1.074858,-0.382991,317.937363,30mm,1
513,1.983043,-1.806908,299.655561,25mm,0
514,-1.802112,0.499923,302.339135,25mm,0
515,-2.196226,-0.029319,325.788840,40mm,1
516,-1.746476,-2.452512,300.903457,25mm,0
517,-2.776661,0.856990,333.869283,20mm,1
518,-1.111866,-0.108555,302.872340,40mm,0
519,-1.623488,-2.053678,302.076850,30mm,0
520,-2.189712,0.285058,301.364591,25mm,0
521,-2.148931,-0.327234,332.016417,30mm,1
522,1.427259,0.215085,331.641914,40mm,1
523,-2.297883,-0.681111,330.008438,30mm,1
524,0.081916,1.167252,300.476561,40mm,0
525,-1.590410,-0.636859,321.004059,30mm,1
526,-0.182724,1.021510,342.602597,40mm,1
527,-2.265245,0.298418,327.316944,25mm,1
528,0.275512,2.464689,303.758744,20mm,0
529,0.823714,2.711031,301.883785,25mm,0
530,-0.815274,0.836319,300.886864,40mm,0
531,-1.690979,2.051914,325.234721,30mm,1
532,-2.154858,-1.941678,305.172554,30mm,0
533,0.385500,0.940722,299.926640,20mm,0
534,2.593693,-1.496572,300.042502,20mm,0
535,-2.948981,-1.676257,301.350450,30mm,0
536,-1.714369,-2.613056,298.334920,30mm,0
537,2.086479,-1.349609,342.766110,20mm,1
538,1.185485,1.658361,300.786496,40mm,0
539,0.715131,1.036732,298.852849,25mm,0
540,-1.696979,-0.978783,315.112204,20mm,1
541,-0.694040,1.077884,300.913288,25mm,0
542,1.848662,-0.217275,303.348007,30mm,0
543,1.006016,1.813742,298.007362,25mm,0
544,-1.011571,0.945329,300.927746,20mm,0
545,2.157406,2.812521,303.058865,40mm,0
546,-0.272547,1.933028,297.540428,20mm,0
547,-0.710274,0.708225,300.401817,40mm,0
548,1.435195,-0.576049,331.178437,40mm,1
549,-1.255220,0.557696,349.736876,20mm,1
550,-2.717379,-1.850366,314.518251,20mm,1
551,-0.703295,2.034880,299.598481,40mm,0
552,-0.051905,2.234793,297.383754,30mm,0
553,-2.222930,-1.136556,334.939111,40mm,1
554,1.375889,-1.829671,325.913485,25mm,1
555,-2.853654,0.488549,302.708311,30mm,0
556,2.065189,-1.061258,328.108979,20mm,1
557,1.304430,2.553511,331.792378,25mm,1
558,1.064608,2.983410,298.244789,30mm,0
559,-2.368480,-1.064781,335.218144,30mm,1
560,-1.525498,0.461755,299.965263,25mm,0
561,-2.899000,-0.658265,299.072502,25mm,0
562,-0.694800,-1.679116,341.273884,30mm,1
563,2.829973,-0.837115,332.538042,30mm,1
564,2.315735,2.201655,295.027565,25mm,0
565,-0.426180,2.188741,300.930076,20mm,0
566,1.056558,-0.569993,299.533962,25mm,0
567,-0.704439,-0.901226,306.177928,20mm,0
568,-1.566201,-0.007552,302.221654,40mm,0
569,-2.382699,-2.820898,323.069842,25mm,1
570,1.645333,0.635454,297.203945,40mm,0
571,1.074223,1.993355,300.712029,25mm,0
572,1.620868,1.744688,301.971554,30mm,0
573,-1.897123,0.461617,299.084698,40mm,0
574,0.605673,1.176479,299.225528,20mm,0
575,0.959826,-2.957354,301.786284,20mm,0
576,2.834440,-1.602018,300.096019,30mm,0
577,-2.790565,0.249849,296.702674,30mm,0
578,-2.356855,1.173941,338.200664,30mm,1
579,-2.041895,-0.592780,323.411109,40mm,1
580,-0.211557,0.162512,318.488012,40mm,1
